cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis
1,279,1,30516527.39,"[""100000000437046100"", ""100000004400305100"", ""100000006866783100"", ""100000008477350100"", ""100000007055802100""]","Гипотеза: передача средств другим сообществам; узлов=279, seed=1; внутри=30516527.39, вход=5002573.55, выход=7593178.34 KZT; 4-е колено=59. Только наблюдаемые потоки; роль не установлена."
2,270,1,10178044.0,"[""100000002578405100"", ""100000002527114100"", ""100000001697501100"", ""100000005041905100"", ""100000002733905100""]","Гипотеза: преимущественно внутренний оборот; узлов=270, seed=1; внутри=10178044.00, вход=0.00, выход=0.00 KZT; 4-е колено=4. Только наблюдаемые потоки; роль не установлена."
3,142,5,19232090.0,"[""100000003684369100"", ""100000008748914100"", ""100000008165763100"", ""100000008304139100"", ""100000001072022100""]","Гипотеза: смешанный обмен между сообществами; узлов=142, seed=5; внутри=19232090.00, вход=4024369.74, выход=4480497.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
4,129,7,18799215.28,"[""100000003016635100"", ""100000001530983100"", ""100000006579678100"", ""100000002173161100"", ""100000006518161100""]","Гипотеза: преимущественно внутренний оборот; узлов=129, seed=7; внутри=18799215.28, вход=1248067.00, выход=901487.00 KZT; 4-е колено=6. Только наблюдаемые потоки; роль не установлена."
5,127,0,27033142.0,"[""100000008710791100"", ""100000008547948100"", ""100000008489922100"", ""100000002718366100"", ""100000008547844100""]","Гипотеза: преимущественно внутренний оборот; узлов=127, seed=0; внутри=27033142.00, вход=1938227.00, выход=3224215.00 KZT; 4-е колено=53. Только наблюдаемые потоки; роль не установлена."
6,126,0,16339904.0,"[""100000008603629100"", ""100000006977207100"", ""100000003880331100"", ""100000001857829100"", ""100000002531406100""]","Гипотеза: смешанный обмен между сообществами; узлов=126, seed=0; внутри=16339904.00, вход=2797944.00, выход=4132354.00 KZT; 4-е колено=52. Только наблюдаемые потоки; роль не установлена."
7,119,0,24439680.33,"[""100000000331309100"", ""100000001330685100"", ""100000006889963100"", ""100000003457710100"", ""100000008490127100""]","Гипотеза: смешанный обмен между сообществами; узлов=119, seed=0; внутри=24439680.33, вход=4101136.75, выход=5069510.00 KZT; 4-е колено=33. Только наблюдаемые потоки; роль не установлена."
8,106,4,16242879.02,"[""100000002958343100"", ""100000007747786100"", ""100000000274067100"", ""100000008748408100"", ""100000007982728100""]","Гипотеза: преимущественно внутренний оборот; узлов=106, seed=4; внутри=16242879.02, вход=1923621.80, выход=1071317.40 KZT; 4-е колено=2. Только наблюдаемые потоки; роль не установлена."
9,91,1,9080395.26,"[""100000001162560100"", ""100000005498992100"", ""100000008545727100"", ""100000005704413100"", ""100000005473151100""]","Гипотеза: преимущественно внутренний оборот; узлов=91, seed=1; внутри=9080395.26, вход=974273.00, выход=1172856.00 KZT; 4-е колено=27. Только наблюдаемые потоки; роль не установлена."
10,69,1,7400997.0,"[""100000000343175100"", ""100000003115284100"", ""100000006707582100"", ""100000001463701100"", ""100000003635170100""]","Гипотеза: получение средств из других сообществ; узлов=69, seed=1; внутри=7400997.00, вход=2191959.00, выход=694155.00 KZT; 4-е колено=9. Только наблюдаемые потоки; роль не установлена."
11,53,1,3021863.0,"[""100000008680731100"", ""100000004420041100"", ""100000001899164100"", ""100000003265158100"", ""100000004692798100""]","Гипотеза: преимущественно внутренний оборот; узлов=53, seed=1; внутри=3021863.00, вход=280118.40, выход=209596.00 KZT; 4-е колено=8. Только наблюдаемые потоки; роль не установлена."
12,51,0,13990812.0,"[""100000005242320100"", ""100000008742053100"", ""100000008512827100"", ""100000001282143100"", ""100000002956769100""]","Гипотеза: преимущественно внутренний оборот; узлов=51, seed=0; внутри=13990812.00, вход=1663545.00, выход=1246800.00 KZT; 4-е колено=11. Только наблюдаемые потоки; роль не установлена."
