rank,gid,role,priority_score,why
1,100000000331309100,coordinator,0.894733,"P=0.895: оборот 1.00×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 5/984635 KZT; выход: 99/23001375 KZT; k=23.36; depth=2."
2,100000004400305100,coordinator,0.893354,"P=0.893: оборот 1.00×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 7/222800 KZT; выход: 82/5830181 KZT; k=26.17; depth=2."
3,100000008603629100,coordinator,0.893132,"P=0.893: оборот 1.00×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 19/1817300 KZT; выход: 61/4986156 KZT; k=2.74; depth=2."
4,100000000437046100,coordinator,0.893043,"P=0.893: оборот 1.00×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 9/1107200 KZT; выход: 42/7606224 KZT; k=6.87; depth=2."
5,100000008547948100,coordinator,0.890952,"P=0.891: оборот 1.00×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 6/212665 KZT; выход: 26/5185600 KZT; k=24.38; depth=2."
6,100000008710791100,coordinator,0.890196,"P=0.890: оборот 1.00×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 3/181510 KZT; выход: 23/5521511 KZT; k=30.42; depth=2."
7,100000005933757100,coordinator,0.889528,"P=0.890: оборот 0.99×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 4/1246000 KZT; выход: 34/3002628 KZT; k=2.41; depth=2."
8,100000008489922100,coordinator,0.889262,"P=0.889: оборот 0.99×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 3/262010 KZT; выход: 36/3789900 KZT; k=14.46; depth=3."
9,100000008477350100,coordinator,0.889173,"P=0.889: оборот 0.99×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 11/610100 KZT; выход: 39/3374866 KZT; k=5.53; depth=2."
10,100000007442518100,coordinator,0.885658,"P=0.886: оборот 0.99×0.4, связи 0.98×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 5/510000 KZT; выход: 9/4419999 KZT; k=8.67; depth=1."
11,100000001857829100,coordinator,0.885258,"P=0.885: оборот 0.99×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 6/888535 KZT; выход: 16/2390993 KZT; k=2.69; depth=2."
12,100000003242289100,coordinator,0.885036,"P=0.885: оборот 0.98×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 3/550791 KZT; выход: 23/2377741 KZT; k=4.32; depth=2."
13,100000004156082100,coordinator,0.885036,"P=0.885: оборот 0.98×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 5/377366 KZT; выход: 26/2319556 KZT; k=6.15; depth=1."
14,100000008165763100,coordinator,0.883479,"P=0.883: оборот 0.98×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 15/1165815 KZT; выход: 17/1267858 KZT; k=1.09; depth=1."
15,100000002224132100,coordinator,0.882544,"P=0.883: оборот 1.00×0.4, связи 0.96×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 5/3951020 KZT; выход: 4/12115000 KZT; k=3.07; depth=2."
16,100000008547844100,coordinator,0.880632,"P=0.881: оборот 0.97×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 3/177600 KZT; выход: 19/2042199 KZT; k=11.50; depth=2."
17,100000008304139100,coordinator,0.879075,"P=0.879: оборот 0.97×0.4, связи 0.99×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 4/189330 KZT; выход: 24/1692997 KZT; k=8.94; depth=1."
18,100000001530983100,coordinator,0.878986,"P=0.879: оборот 0.98×0.4, связи 0.98×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 4/564158 KZT; выход: 11/1829538 KZT; k=3.24; depth=1."
19,100000008743913100,coordinator,0.87774,"P=0.878: оборот 0.97×0.4, связи 0.98×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 3/149300 KZT; выход: 13/1850600 KZT; k=12.40; depth=2."
20,100000008686313100,coordinator,0.877429,"P=0.877: оборот 0.98×0.4, связи 0.97×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 6/1912716 KZT; выход: 7/333800 KZT; k=0.17; depth=1."
21,100000002578405100,distributor,0.876619,"P=0.877: оборот 0.99×0.4, связи 1.00×0.3, роль 0.60×0.3. Гипотеза распределения. Вход: 2/1200351 KZT; выход: 116/3108352 KZT; k=2.59; depth=2."
22,100000001697501100,coordinator,0.876584,"P=0.877: оборот 0.96×0.4, связи 1.00×0.3, роль 0.65×0.3. Гипотеза связующего узла. Вход: 3/123700 KZT; выход: 38/1482606 KZT; k=11.99; depth=1."
